代號,簡稱,資產類別,官方產業,大類股,市場別
6693,廣閎科,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6695,芯鼎,普通股,電子零組件業,電子科技類,上市 (TWSE)
6696,仁新,普通股,光電業,電子科技類,興櫃 (ESM)
6697,東捷資訊,普通股,運動休閒,傳統產業類,上櫃 (TPEx)
6698,旭暉應材,普通股,居家生活,傳統產業類,上市 (TWSE)
6703,軒郁,普通股,光電業,電子科技類,上櫃 (TPEx)
6704,國璽幹細胞,普通股,光電業,電子科技類,興櫃 (ESM)
6705,振躍精密,普通股,電機機械,傳統產業類,興櫃 (ESM)
6706,惠特,普通股,資訊服務業,電子科技類,上市 (TWSE)
6707,富基電通,普通股,貿易百貨業,傳統產業類,興櫃 (ESM)
6708,天擎,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6709,昱厚生技,普通股,光電業,電子科技類,興櫃 (ESM)
6712,長聖,普通股,光電業,電子科技類,上櫃 (TPEx)
6715,嘉基,普通股,金融保險業,金融保險類,上市 (TWSE)
6716,應廣,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6719,力智,普通股,電子零組件業,電子科技類,上市 (TWSE)
6720,久昌,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6721,信實,普通股,半導體業,電子科技類,上櫃 (TPEx)
6722,輝創,普通股,居家生活,傳統產業類,上市 (TWSE)
6723,傑智環境,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6725,矽科宏晟,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6727,亞泰金屬,普通股,金融保險業,金融保險類,上櫃 (TPEx)
6728,上洋,普通股,未分類,其他/未分類,上櫃 (TPEx)
6729,機光科技,普通股,資訊服務業,電子科技類,興櫃 (ESM)
6730,常廣,普通股,光電業,電子科技類,上櫃 (TPEx)
6732,昇佳電子,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6733,博晟生醫,普通股,光電業,電子科技類,上櫃 (TPEx)
6734,安盛生,普通股,光電業,電子科技類,興櫃 (ESM)
6735,美達科技,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6737,秀育,普通股,電子通路業,電子科技類,興櫃 (ESM)
6738,鼎恒,普通股,運動休閒,傳統產業類,興櫃 (ESM)
6739,竹陞科技,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6741,91APP*-KY,普通股,未分類,其他/未分類,上櫃 (TPEx)
6742,澤米,普通股,資訊服務業,電子科技類,上市 (TWSE)
6743,安普新,普通股,居家生活,傳統產業類,上市 (TWSE)
6744,豐技生技,普通股,光電業,電子科技類,興櫃 (ESM)
6748,亞果生醫,普通股,光電業,電子科技類,興櫃 (ESM)
6750,泰創工程,普通股,居家生活,傳統產業類,興櫃 (ESM)
6751,智聯服務,普通股,運動休閒,傳統產業類,上櫃 (TPEx)
6752,叡揚,普通股,運動休閒,傳統產業類,上櫃 (TPEx)
6753,龍德造船,普通股,貿易百貨業,傳統產業類,上市 (TWSE)
6754,匯僑設計,普通股,未分類,其他/未分類,上市 (TWSE)
6755,連鋐科技,普通股,金融保險業,金融保險類,興櫃 (ESM)
6756,威鋒電子,普通股,電子零組件業,電子科技類,上市 (TWSE)
6757,台灣虎航,普通股,貿易百貨業,傳統產業類,上市 (TWSE)
6758,冠亞,普通股,光電業,電子科技類,興櫃 (ESM)
6761,穩得,普通股,金融保險業,金融保險類,上櫃 (TPEx)
6762,達亞,普通股,光電業,電子科技類,上櫃 (TPEx)
6763,綠界科技*,普通股,未分類,其他/未分類,上櫃 (TPEx)
6767,台微醫,普通股,光電業,電子科技類,上櫃 (TPEx)
6768,志強-KY,普通股,未分類,其他/未分類,上市 (TWSE)
6770,力積電,普通股,電子零組件業,電子科技類,上市 (TWSE)
6771,平和環保-創,普通股,綠能環保,政策綠能類,上市 (TWSE)
6775,穎台科技,普通股,資訊服務業,電子科技類,興櫃 (ESM)
6776,展碁國際,普通股,貿易百貨業,傳統產業類,上市 (TWSE)
6780,學習王,普通股,綜合,傳統產業類,興櫃 (ESM)
6781,AES-KY,普通股,金融保險業,金融保險類,上市 (TWSE)
6782,視陽,普通股,光電業,電子科技類,上市 (TWSE)
6784,天凱科技,普通股,其他電子業,電子科技類,興櫃 (ESM)
6785,昱展新藥,普通股,光電業,電子科技類,上櫃 (TPEx)
6786,芯測,普通股,電子零組件業,電子科技類,興櫃 (ESM)
6787,晶瑞光,普通股,資訊服務業,電子科技類,興櫃 (ESM)
6788,華景電,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6789,采鈺,普通股,電子零組件業,電子科技類,上市 (TWSE)
6790,永豐實,普通股,鋼鐵工業,傳統產業類,上市 (TWSE)
6791,虎門科技,普通股,運動休閒,傳統產業類,上櫃 (TPEx)
6792,詠業,普通股,其他電子業,電子科技類,上市 (TWSE)
6793,天力離岸,普通股,半導體業,電子科技類,興櫃 (ESM)
6794,向榮生技,普通股,光電業,電子科技類,上市 (TWSE)
6796,晉弘,普通股,光電業,電子科技類,上市 (TWSE)
6797,圓點奈米,普通股,光電業,電子科技類,興櫃 (ESM)
6798,展逸,普通股,未分類,其他/未分類,興櫃 (ESM)
6799,來頡,普通股,電子零組件業,電子科技類,上市 (TWSE)
6803,崑鼎,普通股,綠能環保,政策綠能類,上櫃 (TPEx)
6804,明係,普通股,未分類,其他/未分類,上櫃 (TPEx)
6805,富世達,普通股,金融保險業,金融保險類,上市 (TWSE)
6806,森崴能源,普通股,綠能環保,政策綠能類,上市 (TWSE)
6807,峰源-KY,普通股,未分類,其他/未分類,上市 (TWSE)
6808,三鼎生技,普通股,光電業,電子科技類,興櫃 (ESM)
6810,新穎生醫,普通股,光電業,電子科技類,興櫃 (ESM)
6811,宏碁資訊,普通股,未分類,其他/未分類,上櫃 (TPEx)
6812,梭特,普通股,資訊服務業,電子科技類,興櫃 (ESM)
6814,路迦生醫,普通股,光電業,電子科技類,興櫃 (ESM)
6815,晶鑽生醫,普通股,光電業,電子科技類,興櫃 (ESM)
6816,捷智商訊,普通股,運動休閒,傳統產業類,興櫃 (ESM)
6817,溫士頓,普通股,光電業,電子科技類,興櫃 (ESM)
6818,連騰,普通股,其他電子業,電子科技類,興櫃 (ESM)
6819,眾智,普通股,電子零組件業,電子科技類,興櫃 (ESM)
6820,連訊,普通股,其他電子業,電子科技類,興櫃 (ESM)
6821,聯寶,普通股,金融保險業,金融保險類,上櫃 (TPEx)
6823,濾能,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6825,和暢科技,普通股,電子通路業,電子科技類,興櫃 (ESM)
6826,和淞,普通股,居家生活,傳統產業類,興櫃 (ESM)
6827,巨生醫,普通股,光電業,電子科技類,興櫃 (ESM)
6829,千附精密,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6830,汎銓,普通股,居家生活,傳統產業類,上市 (TWSE)
6831,邁科,普通股,電子通路業,電子科技類,上市 (TWSE)
6832,金鼎科,普通股,半導體業,電子科技類,興櫃 (ESM)
6833,太康精密,普通股,金融保險業,金融保險類,興櫃 (ESM)
6834,天二科技,普通股,金融保險業,金融保險類,上市 (TWSE)
6835,圓裕,普通股,金融保險業,金融保險類,上市 (TWSE)
6838,台新藥,普通股,光電業,電子科技類,上市 (TWSE)
6839,開陽能源,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6840,東研信超,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6841,長佳智能,普通股,光電業,電子科技類,上櫃 (TPEx)
6842,瑞宇,普通股,電子零組件業,電子科技類,興櫃 (ESM)
6843,進典,普通股,電機機械,傳統產業類,上櫃 (TPEx)
6844,諾貝兒,普通股,光電業,電子科技類,上櫃 (TPEx)
6846,綠茵,普通股,食品工業,傳統產業類,上櫃 (TPEx)
6847,普瑞博,普通股,光電業,電子科技類,興櫃 (ESM)
6848,拉法醫,普通股,光電業,電子科技類,興櫃 (ESM)
6849,奇鼎科技,普通股,居家生活,傳統產業類,興櫃 (ESM)
6850,光鼎生技,普通股,光電業,電子科技類,興櫃 (ESM)
6854,錼創科技-KY創,普通股,電子零組件業,電子科技類,上市 (TWSE)
6855,數泓科,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6856,鑫傳,普通股,綜合,傳統產業類,上櫃 (TPEx)
6857,宏碁智醫,普通股,光電業,電子科技類,興櫃 (ESM)
6858,愛比科技,普通股,電子通路業,電子科技類,興櫃 (ESM)
6859,伯特光,普通股,資訊服務業,電子科技類,上櫃 (TPEx)
6861,睿生光電,普通股,光電業,電子科技類,上市 (TWSE)
6862,三集瑞-KY,普通股,金融保險業,金融保險類,上市 (TWSE)
6863,永道-KY,普通股,其他電子業,電子科技類,上市 (TWSE)
6864,元樟生技,普通股,光電業,電子科技類,興櫃 (ESM)
6865,偉康科技,普通股,未分類,其他/未分類,上櫃 (TPEx)
6867,坦德科技,普通股,資訊服務業,電子科技類,興櫃 (ESM)
6868,采威國際,普通股,運動休閒,傳統產業類,興櫃 (ESM)
6869,雲豹能源,普通股,綠能環保,政策綠能類,上市 (TWSE)
6870,騰雲,普通股,未分類,其他/未分類,上櫃 (TPEx)
6872,浩宇生醫,普通股,光電業,電子科技類,上櫃 (TPEx)
6873,泓德能源,普通股,綠能環保,政策綠能類,上市 (TWSE)
6874,倍力,普通股,運動休閒,傳統產業類,上櫃 (TPEx)
6875,國邑*,普通股,光電業,電子科技類,上櫃 (TPEx)
6876,朗齊生醫*,普通股,光電業,電子科技類,興櫃 (ESM)
6877,鏵友益,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6878,歐付寶,普通股,化學工業,傳統產業類,興櫃 (ESM)
6879,大江基因,普通股,光電業,電子科技類,興櫃 (ESM)
6881,潤德,普通股,半導體業,電子科技類,上櫃 (TPEx)
6882,甲尚,普通股,運動休閒,傳統產業類,興櫃 (ESM)
6883,微電能源,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6884,海柏特,普通股,運動休閒,傳統產業類,上櫃 (TPEx)
6885,全福生技,普通股,光電業,電子科技類,上市 (TWSE)
6886,遠東生技,普通股,食品工業,傳統產業類,興櫃 (ESM)
6887,寶綠特-KY,普通股,綠能環保,政策綠能類,上市 (TWSE)
6890,來億-KY,普通股,未分類,其他/未分類,上市 (TWSE)
6891,樂迦再生,普通股,光電業,電子科技類,興櫃 (ESM)
6892,台寶生醫,普通股,光電業,電子科技類,興櫃 (ESM)
6894,衛司特,普通股,綠能環保,政策綠能類,上櫃 (TPEx)
6895,宏碩系統,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6898,程曦資訊,普通股,運動休閒,傳統產業類,興櫃 (ESM)
6899,創為精密,普通股,資訊服務業,電子科技類,上櫃 (TPEx)
6901,鑽石投資,普通股,半導體業,電子科技類,上市 (TWSE)
6902,GOGOLOOK,普通股,未分類,其他/未分類,上市 (TWSE)
6903,巨漢,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6904,伯鑫,普通股,半導體業,電子科技類,上櫃 (TPEx)
6906,現觀科,普通股,未分類,其他/未分類,上市 (TWSE)
6907,雅特力-KY,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6908,宏碁遊戲-創,普通股,貿易百貨業,傳統產業類,上市 (TWSE)
6909,創控,普通股,電子零組件業,電子科技類,上市 (TWSE)
6910,德鴻,普通股,未分類,其他/未分類,上櫃 (TPEx)
6911,群運,普通股,半導體業,電子科技類,興櫃 (ESM)
6912,益鈞環科*,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6913,鴻呈,普通股,金融保險業,金融保險類,上櫃 (TPEx)
6914,阜爾運通,普通股,半導體業,電子科技類,上市 (TWSE)
6915,美強光,普通股,金融保險業,金融保險類,興櫃 (ESM)
6916,華凌,普通股,資訊服務業,電子科技類,上市 (TWSE)
6917,竟天,普通股,光電業,電子科技類,興櫃 (ESM)
6918,愛派司,普通股,光電業,電子科技類,上市 (TWSE)
6919,康霈*,普通股,光電業,電子科技類,上市 (TWSE)
6920,恆勁科技,普通股,電子零組件業,電子科技類,興櫃 (ESM)
6921,嘉雨思-創,普通股,電子零組件業,電子科技類,上市 (TWSE)
6922,宸曜,普通股,電子通路業,電子科技類,上櫃 (TPEx)
